train_loss_step,train_main_loss_step,train_recon_loss_step,step,epoch,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,,,326,,526.9986572265625,389549952.0,779098880.0,,,,,,
,,,327,,526.9967651367188,347551520.0,695102016.0,,,,,,
,,,328,,527.000244140625,351382560.0,702764096.0,,,,,,
,,,329,,526.994873046875,421082496.0,842163968.0,,,,,,
,,,330,,526.9978637695312,452875808.0,905750592.0,,,,,,
,,,331,,526.9970092773438,363795392.0,727589760.0,,,,,,
,,,332,,526.999267578125,422693120.0,845385216.0,,,,,,
,,,333,,527.0021362304688,329617184.0,659233344.0,,,,,,
,,,334,,526.9966430664062,333549792.0,667098560.0,,,,,,
,,,335,,526.9961547851562,435546720.0,871092416.0,,,,,,
,,,336,,526.9971923828125,344857728.0,689714432.0,,,,,,
,,,337,,526.9990844726562,337771392.0,675541760.0,,,,,,
,,,338,,526.9981689453125,382515680.0,765030336.0,,,,,,
,,,339,,527.000244140625,359051552.0,718102080.0,,,,,,
,,,1359,16,,,,371856192.0,743711296.0,526.9981689453125,,,
,,,1359,16,,,,,,,604.2877197265625,378701216.0,757401280.0
381021632.0,762042624.0,335.4515075683594,1399,17,,,,,,,,,
,,,340,,268.7758483886719,368555904.0,737111296.0,,,,,,
,,,341,,268.77520751953125,334283712.0,668566912.0,,,,,,
,,,342,,268.7766418457031,341114432.0,682228352.0,,,,,,
,,,343,,268.7765197753906,309179008.0,618357504.0,,,,,,
,,,344,,268.7772521972656,376364576.0,752728640.0,,,,,,
,,,345,,268.7766418457031,410127008.0,820253504.0,,,,,,
,,,346,,268.77685546875,385037824.0,770075136.0,,,,,,
,,,347,,268.77593994140625,343345792.0,686691072.0,,,,,,
,,,348,,268.7774658203125,347244192.0,694487872.0,,,,,,
,,,349,,268.77471923828125,416396128.0,832791744.0,,,,,,
,,,350,,268.77618408203125,447931456.0,895862400.0,,,,,,
,,,351,,268.77593994140625,359523104.0,719045696.0,,,,,,
,,,352,,268.7770690917969,418006240.0,836011968.0,,,,,,
,,,353,,268.7784729003906,325706400.0,651412288.0,,,,,,
,,,354,,268.7756042480469,329394432.0,658788352.0,,,,,,
,,,355,,268.7753601074219,430688800.0,861377088.0,,,,,,
