train_recon_loss_step,step,epoch,train_main_loss_step,train_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,291,,,,1705.8594970703125,375745888.0,751488384.0,,,,,,
,292,,,,1705.8642578125,423154080.0,846304768.0,,,,,,
,293,,,,1705.86669921875,360414688.0,720825984.0,,,,,,
,294,,,,1705.8646240234375,359503392.0,719003392.0,,,,,,
,295,,,,1705.87158203125,439570976.0,879138560.0,,,,,,
,296,,,,1705.862548828125,404040512.0,808077632.0,,,,,,
,297,,,,1705.8663330078125,413799520.0,827595648.0,,,,,,
,298,,,,1705.87060546875,384100992.0,768198592.0,,,,,,
,299,,,,1705.8682861328125,355862048.0,711720704.0,,,,,,
,1199,14,,,,,,792580864.0,1705.865478515625,396292160.0,,,
,1199,14,,,,,,,,,1703.0223388671875,404857088.0,809710656.0
1389.880126953125,1249,15,742214528.0,371108640.0,,,,,,,,,
,300,,,,1416.3472900390625,333607392.0,667211968.0,,,,,,
,301,,,,1416.35888671875,420570752.0,841138688.0,,,,,,
,302,,,,1416.360107421875,346517152.0,693031488.0,,,,,,
,303,,,,1416.3536376953125,415914912.0,831827008.0,,,,,,
,304,,,,1416.353759765625,409344128.0,818685440.0,,,,,,
,305,,,,1416.352783203125,434838496.0,869674176.0,,,,,,
,306,,,,1416.345703125,472142368.0,944281920.0,,,,,,
,307,,,,1416.352783203125,353250208.0,706497600.0,,,,,,
,308,,,,1416.351806640625,341302752.0,682602688.0,,,,,,
,309,,,,1416.3531494140625,402292960.0,804583104.0,,,,,,
,310,,,,1416.3485107421875,446027040.0,892051264.0,,,,,,
,311,,,,1416.3504638671875,372804736.0,745606656.0,,,,,,
,312,,,,1416.35302734375,419968288.0,839933760.0,,,,,,
,313,,,,1416.353515625,357520320.0,715037824.0,,,,,,
,314,,,,1416.3526611328125,356748192.0,713493568.0,,,,,,
,315,,,,1416.35595703125,436250464.0,872498112.0,,,,,,
,316,,,,1416.351806640625,400890208.0,801777600.0,,,,,,
,317,,,,1416.3544921875,410791840.0,821580864.0,,,,,,
,318,,,,1416.3590087890625,381098976.0,762195136.0,,,,,,
,319,,,,1416.3560791015625,352982336.0,705961856.0,,,,,,
,1279,15,,,,,,786483456.0,1416.353271484375,393243200.0,,,
,1279,15,,,,,,,,,1422.421630859375,402467360.0,804932032.0
1225.097412109375,1299,16,770179008.0,385090720.0,,,,,,,,,
1044.6636962890625,1349,16,796633088.0,398317600.0,,,,,,,,,
,320,,,,1108.2593994140625,330444608.0,660886976.0,,,,,,
,321,,,,1108.2689208984375,416957824.0,833913408.0,,,,,,
,322,,,,1108.2662353515625,343352800.0,686703360.0,,,,,,
,323,,,,1108.264404296875,412316128.0,824630016.0,,,,,,
,324,,,,1108.2674560546875,405845536.0,811688832.0,,,,,,
,325,,,,1108.26416015625,431083584.0,862164928.0,,,,,,
,326,,,,1108.259033203125,468244448.0,936486656.0,,,,,,
,327,,,,1108.2598876953125,350020096.0,700037952.0,,,,,,
,328,,,,1108.2650146484375,338109792.0,676217344.0,,,,,,
,329,,,,1108.2630615234375,398831168.0,797660096.0,,,,,,
,330,,,,1108.262451171875,442210880.0,884419520.0,,,,,,
,331,,,,1108.263671875,369469152.0,738936064.0,,,,,,
,332,,,,1108.26513671875,416353568.0,832704896.0,,,,,,
,333,,,,1108.2662353515625,354238144.0,708474048.0,,,,,,
,334,,,,1108.26416015625,353624640.0,707247040.0,,,,,,
,335,,,,1108.2635498046875,432482112.0,864961984.0,,,,,,
,336,,,,1108.2647705078125,397316064.0,794629888.0,,,,,,
,337,,,,1108.26416015625,407380448.0,814758656.0,,,,,,
,338,,,,1108.2689208984375,377693984.0,755385728.0,,,,,,
,339,,,,1108.26806640625,349716768.0,699431296.0,,,,,,
,1359,16,,,,,,779567104.0,1108.264404296875,389784544.0,,,
,1359,16,,,,,,,,,1150.2408447265625,399301824.0,798601024.0
860.8775634765625,1399,17,781818624.0,390910176.0,,,,,,,,,
,340,,,,800.3546142578125,326990528.0,653979456.0,,,,,,
,341,,,,800.360107421875,413008768.0,826015936.0,,,,,,
,342,,,,800.3575439453125,339896928.0,679792256.0,,,,,,
,343,,,,800.3565063476562,408382560.0,816763520.0,,,,,,
,344,,,,800.36083984375,402022144.0,804042688.0,,,,,,
,345,,,,800.3587646484375,426978368.0,853955136.0,,,,,,
,346,,,,800.35302734375,463981824.0,927962048.0,,,,,,
,347,,,,800.3516235351562,346491936.0,692982272.0,,,,,,
,348,,,,800.3585205078125,334622528.0,669243456.0,,,,,,
,349,,,,800.3560791015625,395048192.0,790094784.0,,,,,,
,350,,,,800.3585815429688,438038176.0,876074752.0,,,,,,
,351,,,,800.3595581054688,365824992.0,731648384.0,,,,,,
,352,,,,800.3587036132812,412402496.0,824803392.0,,,,,,
,353,,,,800.3612060546875,350652768.0,701303936.0,,,,,,
