train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,210,,,1686.397705078125,725318016.0,362660704.0,,,,,,
,,211,,,1686.396484375,863047936.0,431525664.0,,,,,,
,,212,,,1686.41162109375,719092800.0,359548096.0,,,,,,
,,213,,,1686.395751953125,653125376.0,326564384.0,,,,,,
,,214,,,1686.3995361328125,991876544.0,495939968.0,,,,,,
,,215,,,1686.396484375,802724416.0,401363904.0,,,,,,
,,216,,,1686.3841552734375,871746176.0,435874784.0,,,,,,
,,217,,,1686.42236328125,816827264.0,408415328.0,,,,,,
,,218,,,1686.3797607421875,958008128.0,479005760.0,,,,,,
,,219,,,1686.4139404296875,752975296.0,376489344.0,,,,,,
,10,879,,,,,,1686.3966064453125,820900288.0,410451776.0,,,
,10,879,,,,,,,,,406088320.0,812173440.0,1618.2021484375
408867264.0,11,899,1506.344482421875,817731520.0,,,,,,,,,
389446720.0,11,949,1409.3394775390625,778890624.0,,,,,,,,,
,,220,,,1517.6839599609375,814985728.0,407494368.0,,,,,,
,,221,,,1517.70361328125,903255808.0,451629408.0,,,,,,
,,222,,,1517.6812744140625,879245632.0,439624320.0,,,,,,
,,223,,,1517.6875,761488192.0,380745600.0,,,,,,
,,224,,,1517.7060546875,703952640.0,351977824.0,,,,,,
,,225,,,1517.67919921875,798773888.0,399388448.0,,,,,,
,,226,,,1517.6822509765625,943779776.0,471891392.0,,,,,,
,,227,,,1517.6917724609375,840419072.0,420211040.0,,,,,,
,,228,,,1517.700439453125,800616704.0,400309856.0,,,,,,
,,229,,,1517.6900634765625,765172992.0,382588000.0,,,,,,
,,230,,,1517.6966552734375,720513600.0,360258304.0,,,,,,
,,231,,,1517.6932373046875,857753856.0,428878432.0,,,,,,
,,232,,,1517.7061767578125,714399360.0,357201184.0,,,,,,
,,233,,,1517.69384765625,648662784.0,324332896.0,,,,,,
,,234,,,1517.6971435546875,986023104.0,493013056.0,,,,,,
,,235,,,1517.6964111328125,797643584.0,398823296.0,,,,,,
,,236,,,1517.68505859375,866561536.0,433282272.0,,,,,,
,,237,,,1517.7109375,811721664.0,405862336.0,,,,,,
,,238,,,1517.6793212890625,952314176.0,476158592.0,,,,,,
,,239,,,1517.706298828125,748138688.0,374070848.0,,,,,,
,11,959,,,,,,1517.6934814453125,815771136.0,407887040.0,,,
,11,959,,,,,,,,,403927456.0,807851712.0,1468.443115234375
408747456.0,12,999,1325.305908203125,817492288.0,,,,,,,,,
,,240,,,1368.0821533203125,809308544.0,404655648.0,,,,,,
,,241,,,1368.09716796875,897161408.0,448582080.0,,,,,,
,,242,,,1368.077880859375,873371840.0,436687296.0,,,,,,
,,243,,,1368.0863037109375,756134528.0,378068640.0,,,,,,
,,244,,,1368.1005859375,698783680.0,349393216.0,,,,,,
,,245,,,1368.0780029296875,793247168.0,396624960.0,,,,,,
,,246,,,1368.0791015625,937615616.0,468809184.0,,,,,,
,,247,,,1368.0902099609375,834595584.0,417299168.0,,,,,,
,,248,,,1368.0965576171875,795010304.0,397506528.0,,,,,,
,,249,,,1368.085693359375,759846976.0,379924864.0,,,,,,
,,250,,,1368.0924072265625,715241088.0,357621920.0,,,,,,
,,251,,,1368.0909423828125,851941312.0,425972032.0,,,,,,
,,252,,,1368.103271484375,709249280.0,354626016.0,,,,,,
,,253,,,1368.0894775390625,643767104.0,321884928.0,,,,,,
,,254,,,1368.0897216796875,979593728.0,489798240.0,,,,,,
,,255,,,1368.092529296875,792066112.0,396034432.0,,,,,,
,,256,,,1368.0836181640625,860869504.0,430436128.0,,,,,,
,,257,,,1368.103515625,806117056.0,403059904.0,,,,,,
,,258,,,1368.0804443359375,946060800.0,473031776.0,,,,,,
,,259,,,1368.0999755859375,742830656.0,371416704.0,,,,,,
,12,1039,,,,,,1368.08984375,810140544.0,405071712.0,,,
,12,1039,,,,,,,,,401391200.0,802779904.0,1322.8797607421875
381039680.0,13,1049,1233.919189453125,762076864.0,,,,,,,,,
364934496.0,13,1099,1118.5291748046875,729866752.0,,,,,,,,,
,,260,,,1171.7188720703125,802784768.0,401393568.0,,,,,,
,,261,,,1171.7274169921875,890155520.0,445078944.0,,,,,,
,,262,,,1171.7138671875,866620928.0,433311648.0,,,,,,
,,263,,,1171.7222900390625,749984320.0,374993344.0,,,,,,
,,264,,,1171.7325439453125,692846848.0,346424608.0,,,,,,
,,265,,,1171.713623046875,786896960.0,393449664.0,,,,,,
,,266,,,1171.7138671875,930529344.0,465265856.0,,,,,,
,,267,,,1171.7247314453125,827902720.0,413952544.0,,,,,,
,,268,,,1171.7294921875,788568384.0,394285376.0,,,,,,
,,269,,,1171.7181396484375,753728448.0,376865408.0,,,,,,
,,270,,,1171.7247314453125,709184384.0,354593376.0,,,,,,
,,271,,,1171.7259521484375,845260992.0,422631680.0,,,,,,
,,272,,,1171.735595703125,703334016.0,351668192.0,,,,,,
,,273,,,1171.7227783203125,638145728.0,319074048.0,,,,,,
,,274,,,1171.7198486328125,972201088.0,486101728.0,,,,,,
,,275,,,1171.7271728515625,785657344.0,392829856.0,,,,,,
,,276,,,1171.7197265625,854328512.0,427165440.0,,,,,,
,,277,,,1171.7327880859375,799676928.0,399839648.0,,,,,,
,,278,,,1171.718017578125,938871616.0,469436992.0,,,,,,
,,279,,,1171.7310791015625,736732992.0,368367680.0,,,,,,
,13,1119,,,,,,1171.7236328125,803670592.0,401836480.0,,,
,13,1119,,,,,,,,,398418944.0,796835648.0,1163.871826171875
458676032.0,14,1149,999.1015625,917350080.0,,,,,,,,,
408114944.0,14,1199,874.000732421875,816228160.0,,,,,,,,,
,,280,,,955.968994140625,795310272.0,397656096.0,,,,,,
,,281,,,955.9745483398438,882125440.0,441063680.0,,,,,,
,,282,,,955.9632568359375,858884480.0,429443200.0,,,,,,
,,283,,,955.9703979492188,742940288.0,371471104.0,,,,,,
,,284,,,955.978271484375,686048512.0,343025216.0,,,,,,
,,285,,,955.9642944335938,779622400.0,389812160.0,,,,,,
,,286,,,955.9652099609375,922406592.0,461204256.0,,,,,,
,,287,,,955.9721069335938,820233344.0,410117632.0,,,,,,
